Date	Algae	Treatment	n	mean.rr.alpha.REG2	sd.rr.alpha.REG2	se.rr.alpha.REG2	mean.rr.ETRm.REG2	sd.rr.ETRm.REG2	se.rr.ETRm.REG2	mean.rr.Ek.REG2	sd.rr.Ek.REG2	se.rr.Ek.REG2	mean.rr.Fv.Fm	sd.rr.Fv.Fm	se.rr.Fv.Fm	ID
2015-06-10	Clad	Marg	4	-0.1407657005188818	0.15863138370681143	0.07931569185340571	0.05626860879860694	0.304147109281142	0.152073554640571	0.19703430931748872	0.32883778053626705	0.16441889026813353	-0.08159780636063262	0.11541071540102335	0.057705357700511675	Clad.Marg
2015-06-10	Clad	Thal	4	0.035351638175574664	0.2626062473615178	0.1313031236807589	0.14830245429243108	0.17911219737024445	0.08955609868512222	0.1129508161168564	0.15471447249613385	0.07735723624806692	0.04892530921891707	0.16162863671848082	0.08081431835924041	Clad.Thal
2015-06-10	Oed	Marg	4	-0.33568030482922234	0.271775442001548	0.135887721000774	-0.1741656595236026	0.13501537181199355	0.06750768590599678	0.1615146453056197	0.39396526480458893	0.19698263240229447	-0.24105209202765213	0.09280171646909591	0.046400858234547954	Oed.Marg
2015-06-10	Oed	Thal	4	-0.09784637920035938	0.1607578431464109	0.08037892157320545	0.05130209885157222	0.12124388336821455	0.060621941684107276	0.14914847805193165	0.2023542278953852	0.1011771139476926	0.052292455445229945	0.189650834911353	0.0948254174556765	Oed.Thal
2015-06-10	Peri	Marg	4	-0.18008784098883002	0.22002739512418795	0.11001369756209398	0.20579425864425968	0.21594222819410686	0.10797111409705343	0.3858820996330897	0.3333917316160134	0.1666958658080067	-0.19792327418523256	0.11728722803664585	0.05864361401832292	Peri.Marg
2015-06-10	Peri	Thal	4	0.13796455716924239	0.2196549933480657	0.10982749667403285	0.1602987604995133	0.07912340084928315	0.03956170042464158	0.02233420333027091	0.21780270972370486	0.10890135486185243	-0.013966875105720658	0.1651765031077363	0.08258825155386815	Peri.Thal
2015-06-11	Clad	Marg	4	-0.19608760208714857	0.07062282038979367	0.035311410194896836	0.1660439720579191	0.25887624867647696	0.12943812433823848	0.3621315741450677	0.25975976953505897	0.12987988476752949	-0.13870970655111403	0.10659858350864498	0.05329929175432249	Clad.Marg
2015-06-11	Clad	Thal	4	0.0729122083728626	0.09602674980254251	0.04801337490127126	0.3160011570592562	0.07892086758308144	0.03946043379154072	0.24308894868639355	0.08816412143897764	0.04408206071948882	0.0652108270231042	0.04814411319777082	0.02407205659888541	Clad.Thal
2015-06-11	Oed	Marg	4	-0.31135925556175537	0.21643867463088487	0.10821933731544243	-0.20238088505046764	0.1965239865721385	0.09826199328606924	0.10897837051128761	0.28980525009003866	0.14490262504501933	-0.20467780371537517	0.2117757088085267	0.10588785440426335	Oed.Marg
2015-06-11	Oed	Thal	4	-0.05980599943473343	0.08054348803650496	0.04027174401825248	0.22257023700799128	0.18243111896650202	0.09121555948325101	0.28237623644272475	0.14529122083827833	0.07264561041913917	-0.04693252948569167	0.06297488031424667	0.031487440157123334	Oed.Thal
2015-06-11	Peri	Marg	4	-0.14870995232462017	0.20748717617298276	0.10374358808649138	0.3155208407058561	0.11256078051941383	0.056280390259706915	0.46423079303047626	0.24262863815767946	0.12131431907883973	-0.3095515273114724	0.1698383053258955	0.08491915266294775	Peri.Marg
2015-06-11	Peri	Thal	4	0.026618927271943264	0.09379575842216727	0.04689787921108363	0.194899879897443	0.13262316265630708	0.06631158132815354	0.14264833231988977	0.1378978589846996	0.0689489294923498	-0.22216537701052144	0.07349829416845918	0.03674914708422959	Peri.Thal
2015-06-15	Clad	Marg	4	-0.3176009473481858	0.08240144370397161	0.041200721851985804	0.05094982743381013	0.21420814847403472	0.10710407423701736	0.36855077478199594	0.14074418809579395	0.07037209404789697	-0.09523458826331006	0.10134139729618412	0.05067069864809206	Clad.Marg
2015-06-15	Clad	Thal	4	-0.14146964993313768	0.17867584450192608	0.08933792225096304	0.22216531330346082	0.2406033397870276	0.1203016698935138	0.3636349632365985	0.0776515091392478	0.0388257545696239	-0.06429800611189469	0.05595847195332433	0.027979235976662166	Clad.Thal
2015-06-15	Oed	Marg	4	-0.4841886349869204	0.238271857265632	0.119135928632816	-0.31450152495833256	0.06356459473400429	0.031782297367002145	0.16968711002858772	0.21898704101130104	0.10949352050565052	-0.16124228915131247	0.19955380283774082	0.09977690141887041	Oed.Marg
2015-06-15	Oed	Thal	4	-0.2837596479523441	0.14946869015731473	0.07473434507865737	-0.014404728286498879	0.2253939496483381	0.11269697482416904	0.26935491966584524	0.2654252973167552	0.1327126486583776	-0.004686823126058691	0.10089217328459396	0.05044608664229698	Oed.Thal
2015-06-15	Peri	Marg	4	-0.11987440106557506	0.08851840372316769	0.044259201861583844	0.3254683340795749	0.08131835612243776	0.04065917806121888	0.44534273514514994	0.08327063019082176	0.04163531509541088	-0.3034701024600289	0.11878738717290438	0.05939369358645219	Peri.Marg
2015-06-15	Peri	Thal	4	0.23702446640678246	0.10728233859164568	0.05364116929582284	0.19103014342782162	0.11916865999493004	0.05958432999746502	-0.04599432297896085	0.183877678738971	0.0919388393694855	0.028795234916643823	0.10572305572620444	0.05286152786310222	Peri.Thal
