Date	Site	Treatment	N	mean.t	min.t	max.t	sd.t	se.t
2018-06-10	1	Margin	432	21.659861111111113	18.272	24.566	0.9024102730192818	0.0434172345039305
2018-06-10	1	Thalweg	432	21.519787037037037	18.322	24.392	0.8740624920017901	0.04205335125381572
2018-06-10	2	Margin	432	21.682671296296295	17.875	26.062	1.578997237760092	0.07596954002253872
2018-06-10	2	Thalweg	432	21.841886574074074	19.309	24.375	1.017125853090866	0.048936490423478265
2018-06-10	3	Margin	432	22.125907407407407	20.095	25.971	1.4426827294190598	0.06941110518210986
2018-06-10	3	Thalweg	432	21.70266898148148	19.968	24.219	0.9550962071343837	0.045952087690918915
2018-06-10	4	Margin	432	22.24806712962963	18.695	29.129	2.4275764551501076	0.11679682665494268
2018-06-10	4	Thalweg	432	21.617997685185184	19.76	24.594	0.8703029968115304	0.04187247245713959
2018-06-11	1	Margin	432	21.567159722222222	19.646	25.529	1.4072514538077434	0.0677064171394494
2018-06-11	1	Thalweg	432	21.399796296296298	19.73	25.33	1.194831924296483	0.057486377760744424
2018-06-11	2	Margin	432	21.26457175925926	18.438	24.941	1.6325530727795372	0.07854624633630138
2018-06-11	2	Thalweg	432	21.746094907407407	19.747	25.023	1.4699031259876925	0.07072074712263889
2018-06-11	3	Margin	432	21.89084490740741	19.282	26.783	1.7285445862237199	0.08316464018021125
2018-06-11	3	Thalweg	432	21.487449074074075	19.753	26.426	1.2826891369285465	0.06171340987435875
2018-06-11	4	Margin	432	22.68281712962963	17.936	31.314	3.4677426433815377	0.16684184571972294
2018-06-11	4	Thalweg	432	21.44403240740741	19.716	24.945	1.2333917673827546	0.05934158907622514
2018-06-12	1	Margin	432	22.09353240740741	20.209	25.586	1.3646979196658733	0.06565905927346785
2018-06-12	1	Thalweg	432	21.98749074074074	20.326	24.482	1.222576147366275	0.05882122231556121
2018-06-12	2	Margin	432	21.793317129629628	19.062	25.004	1.5813430732882585	0.07608240408701052
2018-06-12	2	Thalweg	432	22.222046296296295	20.31	25.324	1.4426005207100268	0.06940714991375235
2018-06-12	3	Margin	432	22.347905092592594	19.657	25.721	1.68267601831696	0.08095778767785204
2018-06-12	3	Thalweg	432	22.032152777777778	20.298	24.551	1.246024784323216	0.05994939538716284
2018-06-12	4	Margin	432	23.399430555555554	18.5	32.75	3.7424780504424215	0.18006005915493314
2018-06-12	4	Thalweg	432	21.98885185185185	20.318	24.326	1.2320802740353802	0.059278489823129554
2018-06-13	1	Margin	432	22.306627314814815	20.397	26.086	1.3851261754931887	0.06664191419021577
2018-06-13	1	Thalweg	432	22.19915046296296	20.576	24.857	1.1824046786849747	0.05688847162748692
2018-06-13	2	Margin	432	21.907550925925925	19.125	25.393	1.6070813140811337	0.07732073577453001
2018-06-13	2	Thalweg	432	22.442215277777777	20.498	25.461	1.4326719856663457	0.06892946304874169
2018-06-13	3	Margin	432	22.48845601851852	19.845	25.971	1.7007627667550815	0.08182798676781158
2018-06-13	3	Thalweg	432	22.226027777777777	20.548	24.594	1.219430002316292	0.0586698533412681
2018-06-13	4	Margin	432	23.255918981481482	17.999	31.689	3.64963130393656	0.17559296798088816
2018-06-13	4	Thalweg	432	22.173425925925926	20.529	24.389	1.1961609681751373	0.05755032141416991
2018-06-14	1	Margin	432	22.04500462962963	20.084	25.586	1.3786599145805778	0.06633080606700359
2018-06-14	1	Thalweg	432	21.856488425925924	20.293	24.295	1.0892529869003322	0.05240670876687589
2018-06-14	2	Margin	432	21.61569212962963	18.812	28	1.6028125121421548	0.07711535294548111
2018-06-14	2	Thalweg	432	22.08456712962963	20.185	25.398	1.3466767690537853	0.06479201626038487
2018-06-14	3	Margin	432	22.217449074074075	19.532	26.033	1.7407765707655558	0.08375315181087394
2018-06-14	3	Thalweg	432	21.81659722222222	20.235	23.988	1.1075674898561414	0.05328786570117678
2018-06-14	4	Margin	432	23.105027777777778	17.185	32.625	3.9695993438258617	0.19098743747773525
2018-06-14	4	Thalweg	432	21.853673611111113	20.217	23.951	1.1379768580327188	0.05475093710972956
2018-06-15	1	Margin	306	21.3125522875817	19.646	24.217	1.3470558249819127	0.07700605603079101
2018-06-15	1	Thalweg	306	21.087022875816995	18.575	23.955	1.0723038914135092	0.06129953340674109
2018-06-15	2	Margin	306	20.914316993464052	18.438	24.816	1.675457217021948	0.09577951406202316
2018-06-15	2	Thalweg	306	21.436911764705883	19.81	24.836	1.4480610106448089	0.08278013817520538
2018-06-15	3	Margin	306	21.76368954248366	19.157	27.033	2.093352251973159	0.11966898313942716
2018-06-15	3	Thalweg	306	21.114153594771242	19.797	23.82	1.1592724792943763	0.06627119666454463
2018-06-15	4	Margin	306	22.556156862745098	16.496	32.687	4.597163403547884	0.26280233979246087
2018-06-15	4	Thalweg	306	21.14993790849673	19.841	23.701	1.1800574031887294	0.06745939167793673
