Date	ArrayID	depth_cm	velocity_ms	time
10-Jun-15	1.1	24	0.09	11:15
10-Jun-15	1.2	43	0.05	11:17
10-Jun-15	1.3	41	0.05	11:18
10-Jun-15	1.4	10	0	11:23
10-Jun-15	1.5	11	0	11:20
10-Jun-15	1.6	9.5	0	11:22
10-Jun-15	2.1	26	0.06	11:06
10-Jun-15	2.2	20	0.5	11:08
10-Jun-15	2.3	38.5	0.17	11:10
10-Jun-15	2.4	11	0	11:12
10-Jun-15	2.5	10	0	11:11
10-Jun-15	2.6	10	0	11:11
10-Jun-15	3.1	32	0.15	10:59
10-Jun-15	3.2	25.5	0.13	11:01
10-Jun-15	3.3	28	0.21	11:03
10-Jun-15	3.4	9	0	10:54
10-Jun-15	3.5	12	0	10:51
10-Jun-15	3.6	11	0	10:52
10-Jun-15	4.1	50	0.13	10:39
10-Jun-15	4.2	37	0.16	10:41
10-Jun-15	4.3	50	0.11	10:37
10-Jun-15	4.4	11	0	10:45
10-Jun-15	4.5	13	0	10:46
10-Jun-15	4.6	12	0	10:47
11-Jun-15	1.1	20.5	0.1	15:58
11-Jun-15	1.2	41.5	0.05	15:58
11-Jun-15	1.3	53	0.05	15:58
11-Jun-15	1.4	11.5	0	16:24
11-Jun-15	1.5	10	0	16:24
11-Jun-15	1.6	12	0	16:24
11-Jun-15	2.1	23	0.05	15:25
11-Jun-15	2.2	22.5	0.45	15:25
11-Jun-15	2.3	43	0.25	15:25
11-Jun-15	2.4	11	0	15:14
11-Jun-15	2.5	13	0	15:14
11-Jun-15	2.6	9	0	15:14
11-Jun-15	3.1	33	0.16	15:01
11-Jun-15	3.2	23.5	0.07	15:05
11-Jun-15	3.3	24	0.24	15:07
11-Jun-15	3.4	13	0	15:10
11-Jun-15	3.5	11	0	15:10
11-Jun-15	3.6	14	0	15:10
11-Jun-15	4.1	37	0.09	14:55
11-Jun-15	4.2	48	0.15	14:51
11-Jun-15	4.3	50	0.3	14:43
11-Jun-15	4.4	12.5	0	14:40
11-Jun-15	4.5	15	0	14:40
11-Jun-15	4.6	8	0	14:40
15-Jun-15	1.1	25	0.06	17:49
15-Jun-15	1.2	42	0.02	17:45
15-Jun-15	1.3	38	0.04	17:48
15-Jun-15	1.4	12	0	17:45
15-Jun-15	1.5	10	0	17:42
15-Jun-15	1.6	12	0	17:43
15-Jun-15	2.1	22.5	0.05	17:35
15-Jun-15	2.2	22	0.4	17:40
15-Jun-15	2.3	40	0.15	17:32
15-Jun-15	2.4	10	0	17:29
15-Jun-15	2.5	11	0	17:30
15-Jun-15	2.6	9	0	17:31
15-Jun-15	3.1	33	0.07	17:20
15-Jun-15	3.2	23.5	0.09	17:23
15-Jun-15	3.3	23.5	0.2	17:36
15-Jun-15	3.4	12	0	17:17
15-Jun-15	3.5	12	0	17:18
15-Jun-15	3.6	13.5	0	17:19
15-Jun-15	4.1	45	0.09	17:12
15-Jun-15	4.2	31	0.06	17:13
15-Jun-15	4.3	50	0.1	17:08
15-Jun-15	4.4	12.5	0	17:03
15-Jun-15	4.5	13.5	0	17:04
15-Jun-15	4.6	8	0	17:05
